workerid,response,stimulus,condition,batch
1686,Kamala Harris,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
2227,Kamala Harris,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
1657,Donald Trump,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
2426,Donald Trump,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
2641,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2071,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
1428,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2514,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2072,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
1435,Donald Trump,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
1406,Donald Trump,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2917,Kamala Harris,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
1478,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
1587,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2349,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
2051,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
1760,Donald Trump,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
1776,Kamala Harris,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
2957,Kamala Harris,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2045,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
2379,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2551,Donald Trump,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2321,Kamala Harris,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2087,Kamala Harris,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2040,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
1928,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
1960,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
2753,Writer is unsure,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-maze,pre
2255,Donald Trump,<p>Think about the writer of the sentences you read on the previous page. Who does the writer believe will be the US president in February 2025?</p></br>,event-spr,pre
